,time,frame,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1,2022-11-10 12:26:03.032138,1,2,0,0,0,0,0,0,942.23,222.18,0,0,945.45,249.21,944.9,247.91,960.19,283.86,0,0,966.93,315.64,0,0,939.11,318.83,951.72,319.2,915.84,364.08,962.8,358.75,0,0,990.76,402.51
8,2022-11-10 12:26:15.791870,2,2,0,0,0,0,0,0,937.08,223.16,0,0,940.01,250.93,939.69,249.31,952.7,285.96,0,0,960.06,317.11,0,0,932.96,320.67,940.96,319.19,912.31,366.06,957.9,359.66,0,0,986.63,404.73
15,2022-11-10 12:26:28.601177,3,2,0,0,0,0,0,0,932.25,222.97,0,0,936.07,250.09,932.2,248.8,945.13,284.05,0,0,953.64,317.28,0,0,927.18,319.14,930.91,319.26,912.32,365.89,948.35,360.05,0,0,979.71,403.26
22,2022-11-10 12:26:41.410160,4,2,0,0,0,0,0,0,926.86,224.02,0,0,928.73,250.79,930.42,248.64,934.9,291.2,0,0,0,0,0,0,919.38,320.83,930.01,321.18,908.64,369.63,938.66,363.98,0,0,971.32,399.84
28,2022-11-10 12:26:53.122332,5,2,0,0,0,0,0,0,0,0,0,0,922.33,249.98,926.12,248.2,924.05,287.42,0,0,0,0,0,0,913.27,323.3,922.12,324.62,908.87,376.93,0,0,0,0,0,0
35,2022-11-10 12:27:07.046214,6,2,0,0,0,0,0,0,0,0,0,0,919.48,250.95,921.04,249.69,921.27,287.08,0,0,0,0,0,0,910.78,321.54,912.23,321.69,0,0,0,0,0,0,0,0
42,2022-11-10 12:27:20.900701,7,2,0,0,0,0,0,0,909.28,223.29,0,0,914.94,251.15,918.04,249.18,914.11,287.19,0,0,0,0,0,0,908.26,313.98,912.39,312.11,903.39,361.97,904.69,359.91,0,0,0,0
54,2022-11-10 12:27:46.424543,8,2,0,0,0,0,0,0,903.5,222.78,0,0,906.8,248.55,911.47,246.71,903.51,281.98,0,0,892.68,309.85,0,0,902.58,310.96,900.98,310.73,898.56,366.8,882.22,357.93,0,0,0,0
60,2022-11-10 12:27:59.253641,9,2,0,0,0,0,0,0,900.26,223,0,0,901.91,248.77,909.11,247.42,896.26,284.18,0,0,881.93,315.86,0,0,897.86,316.13,897.29,315.72,898.12,362.99,873.13,355.17,0,0,0,0
68,2022-11-10 12:28:14.118515,10,2,0,0,0,0,0,0,895.89,222.92,0,0,897.49,247.63,907.9,247.56,891.59,277.22,0,0,880.94,299.56,0,0,894.45,314.75,893.57,313.65,896.85,364.16,866.55,349.91,0,0,880.67,393.21
77,2022-11-10 12:28:30.049442,11,2,0,0,0,0,0,0,891.46,223.27,0,0,892.83,247.22,903.93,246.74,885.19,277.9,911.07,283.25,871.61,298.66,910.69,312.92,891.2,312.8,887.96,311.72,895.89,364.1,863.18,350.7,0,0,868.97,397.25
86,2022-11-10 12:28:48.050241,12,2,0,0,0,0,0,0,885.04,226.78,0,0,887.3,250.33,901.59,250.34,879.18,282.81,907.57,285.99,860.9,300.93,907.53,317.11,883.27,313.14,892.28,313.52,860.09,351.61,895.7,362.03,855.13,402.78,906.09,399.73
